"gender","age","points","deep","surf","stra","attitude"
"F",17,26,3.91666666666667,3.41666666666667,4.625,1.7
"M",19,12,2.66666666666667,3.75,2.5,1.9
"F",20,32,3.08333333333333,3,2.875,3.5
"F",20,22,3.75,2.58333333333333,2.75,2.4
"F",20,20,4.16666666666667,3.33333333333333,4,2.1
"F",20,21,4.16666666666667,2.83333333333333,2.375,2.9
"F",19,23,3.25,3,3.875,1.9
"F",19,20,4.08333333333333,2.83333333333333,3.375,2
"F",22,28,2.91666666666667,3.16666666666667,1.75,4.2
"M",35,31,3.83333333333333,2.75,3,4.1
"F",18,18,3.16666666666667,3.41666666666667,2.625,3.7
"F",19,30,3.41666666666667,3,2.625,3.6
"M",21,19,4.08333333333333,2.66666666666667,3.375,1.8
